Tanggal,curah_hujan
05-11-2013,27.5
06-11-2013,40.1
07-11-2013,34.5
08-11-2013,5.0
09-11-2013,0.0
10-11-2013,0.0
11-11-2013,0.0
12-11-2013,16.3
13-11-2013,0.0
14-11-2013,0.0
15-11-2013,0.0
16-11-2013,0.0
17-11-2013,48.8
18-11-2013,18.0
19-11-2013,0.0
20-11-2013,10.6
21-11-2013,49.4
22-11-2013,2.1
23-11-2013,0.0
24-11-2013,11.8
25-11-2013,63.5
26-11-2013,0.0
27-11-2013,2.0
28-11-2013,0.0
29-11-2013,66.2
30-11-2013,45.2
01-12-2013,0.3
02-12-2013,1.1
03-12-2013,0.7
04-12-2013,0.7
05-12-2013,0.0
06-12-2013,1.4
07-12-2013,0.0
08-12-2013,11.3
09-12-2013,0.2
10-12-2013,32.6
11-12-2013,0.0
12-12-2013,16.0
13-12-2013,7.1
14-12-2013,0.2
15-12-2013,7.5
16-12-2013,1.2
17-12-2013,30.0
18-12-2013,6.5
19-12-2013,16.2
20-12-2013,1.6
21-12-2013,8.9
22-12-2013,2.0
23-12-2013,7.2
24-12-2013,8.5
25-12-2013,5.4
26-12-2013,8.4
27-12-2013,4.7
28-12-2013,0.0
29-12-2013,11.8
30-12-2013,8.1
31-12-2013,12.3
01-01-2014,21.1
02-01-2014,1.0
03-01-2014,1.0
04-01-2014,8.8
05-01-2014,5.1
06-01-2014,25.7
07-01-2014,6.3
08-01-2014,0.0
09-01-2014,5.3
10-01-2014,8.3
11-01-2014,2.2
12-01-2014,12.2
13-01-2014,1.1
14-01-2014,7.5
15-01-2014,7.1
16-01-2014,2.0
17-01-2014,1.2
18-01-2014,2.3
19-01-2014,16.3
20-01-2014,0.0
21-01-2014,0.5
22-01-2014,0.0
23-01-2014,0.8
24-01-2014,0.0
25-01-2014,0.6
26-01-2014,6.7
27-01-2014,1.4
28-01-2014,6.5
29-01-2014,5.4
30-01-2014,2.5
31-01-2014,0.0
01-02-2014,0.0
02-02-2014,0.0
03-02-2014,0.0
04-02-2014,0.0
05-02-2014,0.0
06-02-2014,0.0
